epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5188,2.02852,3.26233,1.62398,0.00867,0.72222,0.36527,0.16075,1.72505,3.36751,1.33199,0.00018,0.00018,0.00018
2,57.1362,1.25218,1.36757,1.03616,0.97213,0.36806,0.78461,0.50908,1.11916,2.62492,0.90679,0.00036119,0.00036119,0.00036119
3,84.0313,1.00769,1.03204,0.9935,0.01133,0.94444,0.84657,0.65157,0.74451,2.55997,0.84061,0.00052258,0.00052258,0.00052258
4,110.602,0.82038,0.93182,0.94926,0.01158,0.96528,0.83796,0.71877,0.68152,2.54065,0.83962,0.00066417,0.00066417,0.00066417
5,137.426,0.74809,0.80995,0.94165,1,0.37569,0.77874,0.70899,0.55989,2.51165,0.82497,0.00078596,0.00078596,0.00078596
6,161.912,0.70794,0.76449,0.91743,1,0.55624,0.88726,0.76928,0.61098,2.14499,0.84228,0.00088795,0.00088795,0.00088795
7,185.984,0.72284,0.73465,0.92667,1,0.79745,0.94495,0.8203,0.57073,1.79398,0.83257,0.00097014,0.00097014,0.00097014
8,209.583,0.71635,0.68897,0.90573,1,0.85054,0.95747,0.82036,0.61231,1.3784,0.84336,0.00103253,0.00103253,0.00103253
9,233.185,0.65423,0.69299,0.91272,1,0.94783,0.97479,0.83538,0.59769,1.17538,0.8435,0.00107512,0.00107512,0.00107512
10,256.555,0.62743,0.64516,0.88545,0.9955,0.97222,0.975,0.86296,0.51903,0.97426,0.82293,0.00109791,0.00109791,0.00109791
11,279.678,0.55662,0.65277,0.85361,0.99663,0.97222,0.975,0.86423,0.48576,0.87367,0.81257,0.00101,0.00101,0.00101
12,302.676,0.52692,0.60765,0.85471,1,0.9696,0.975,0.90295,0.38603,0.6693,0.79169,0.000911,0.000911,0.000911
13,326.306,0.49876,0.58837,0.84368,0.99176,0.97222,0.97479,0.87764,0.50539,0.63744,0.81413,0.000812,0.000812,0.000812
14,349.909,0.49443,0.57464,0.8444,0.99924,0.97222,0.975,0.91587,0.37158,0.53594,0.78929,0.000713,0.000713,0.000713
15,373.076,0.48524,0.56463,0.85142,0.99922,0.97222,0.975,0.90999,0.40018,0.49977,0.79169,0.000614,0.000614,0.000614
16,396.028,0.48565,0.55013,0.8397,0.99955,0.97222,0.975,0.92317,0.3476,0.4738,0.78641,0.000515,0.000515,0.000515
17,419.654,0.44397,0.52912,0.83655,0.99939,0.97222,0.975,0.9166,0.3724,0.46237,0.78922,0.000416,0.000416,0.000416
18,442.915,0.43541,0.51537,0.83007,0.99926,0.97222,0.975,0.91519,0.37444,0.44401,0.79043,0.000317,0.000317,0.000317
19,466.495,0.4507,0.51396,0.84825,0.99929,0.97222,0.975,0.92848,0.3171,0.42274,0.78088,0.000218,0.000218,0.000218
20,489.805,0.41953,0.49388,0.83151,0.99939,0.97222,0.975,0.92413,0.33372,0.41982,0.78272,0.000119,0.000119,0.000119
